#period	period time	calc time
638	1496	999
639	1499	1001
640	1501	997
641	2252	746
642	1244	1005
643	1502	996
644	1498	495
645	1493	1002
646	1498	499
647	1253	1747
648	2246	499
649	1250	997
650	1496	1007
651	1501	498
652	1248	1002
653	1499	998
654	1499	1497
655	1996	499
656	1251	998
657	1498	1000
658	1499	1000
659	1499	999
660	1502	1745
661	2244	1000
662	1501	497
663	1247	999
664	1496	999
665	1750	498
666	1247	1004
667	2247	750
668	1499	1005
669	1503	496
670	1245	1000
671	1499	1000
672	1748	499
673	1749	999
674	1502	749
675	1246	998
676	1498	999
677	1748	1249
678	1750	999
679	2248	999
680	1499	505
681	1251	999
682	1499	499
683	1249	999
684	1499	999
685	1502	746
686	1745	999
687	1499	999
688	1499	752
689	1250	999
690	1751	497
691	1250	743
692	1741	1256
693	1753	1001
694	1499	503
695	1245	999
696	1497	1007
697	1503	998
698	1494	1503
699	1999	1252
700	1750	999
701	1501	746
702	1498	997
703	1500	744
704	1496	500
705	2002	996
706	1495	499
707	1249	999
708	1507	747
709	1488	999
710	1498	499
711	2000	499
712	1248	1002
713	1501	1001
714	1499	1000
715	1498	1000
716	1500	999
717	1748	1253
718	1752	995
719	1496	748
720	1499	497
721	1246	1001
722	1499	999
723	1499	748
724	1997	999
725	1499	999
726	1500	507
727	1259	988
728	1487	999
729	1499	1004
730	1750	1248
731	1748	1001
732	1500	1000
733	1499	500
734	1249	999
735	1499	1006
736	1500	751
737	1996	999
738	1498	1000
739	1498	500
740	1251	997
741	1497	1001
742	1500	1001
743	1500	1251
744	2000	498
745	1246	747
746	1246	999
747	1748	500
748	1252	1247
749	1746	750
750	1998	998
751	1498	1002
752	1501	497
753	1996	755
754	1499	499
755	1249	1000
756	2249	998
757	1497	1001
758	1499	499
759	1253	1005
760	1505	1001
761	1492	999
762	1501	747
763	1743	999
764	1499	750
765	1248	1000
766	1499	1005
767	1502	996
768	1494	1002
769	1752	1245
770	1745	1001
771	1501	999
772	1499	749
773	1501	501
774	1250	997
775	1494	1249
776	2247	499
777	1253	998
778	1501	495
779	1493	749
780	1250	997
781	1497	1000
782	1500	1498
783	1998	500
784	1248	749
785	1504	754
786	1499	744
787	1493	750
788	1249	1001
789	2249	750
790	1499	499
791	1248	999
792	1499	999
793	1498	1000
794	1500	998
795	1997	499
796	1248	1000
797	1508	743
798	1491	999
799	1498	748
800	1248	1007
801	2250	749
802	1498	499
803	1247	1005
804	1750	499
805	1248	1000
806	1499	999
807	1498	752
808	1750	999
809	1499	748
810	1499	747
811	1247	999
812	1498	999
813	1502	996
814	2248	746
815	1498	500
816	1247	999
817	1753	498
818	1246	999
819	1500	1000
820	1496	752
821	1750	1005
822	1502	748
823	1496	749
824	1248	997
825	1496	1002
826	1499	1000
827	1503	1247
828	2000	499
829	1245	1000
830	1497	1252
831	1499	999
832	1499	751
833	1501	751
834	1998	748
835	1283	964
836	1462	1249
837	1499	999
838	1499	999
839	1500	997
840	1498	1248
841	1999	500
842	1248	1002
843	1507	1246
844	1490	1003
845	1499	999
846	1498	751
847	1999	1001
848	1498	749
849	1498	750
850	1250	1004
851	1505	997
852	1495	997
853	1495	751
854	1748	754
855	1500	502
856	1254	998
857	1743	499
858	1251	750
859	1499	498
860	1248	1251
861	2000	498
862	1249	748
863	1503	1001
864	1500	744
865	1496	498
866	1245	999
867	2000	1001
868	1501	997
869	1493	751
870	1250	999
871	1499	997
872	1497	1003
873	2001	1000
874	1247	999
875	1757	995
876	1497	744
877	1494	499
878	1248	999
879	1750	499
880	1746	749
881	1500	531
882	1255	994
883	1493	1248
884	1750	998
885	1498	750
886	1747	1002
887	1501	499
888	1497	998
889	1497	499
890	1502	495
891	1250	995
892	2784	10
893	962	1005
894	1502	750
895	1495	997
896	1497	502
897	1504	495
898	1999	1000
899	1498	757
900	1500	1000
901	1497	999
902	1498	750
903	1250	1009
904	1754	1246
905	1747	995
906	1495	749
907	1499	999
908	1500	498
909	1254	998
910	1495	499
911	1995	500
912	1254	744
913	1493	999
914	1499	750
915	1499	499
916	1251	999
917	1499	1497
918	1746	1007
919	1657	594
920	1340	1003
921	1505	997
922	1494	499
923	1251	998
924	2247	1001
925	1498	499
926	1498	1000
927	1501	755
928	1499	500
929	1250	1000
930	1498	1498
931	1997	749
932	1499	500
933	1250	1001
934	1498	999
935	1499	499
936	1498	500
937	1503	1245
938	1744	999
939	1499	1256
940	1511	987
941	1484	1001
942	1499	750
943	1249	1752
944	2250	1003
945	1503	749
946	1496	1250
947	1749	749
948	1498	500
949	1249	999
950	2246	749
951	1499	499
952	1503	745
953	1495	499
954	1249	998
955	1498	999
956	1501	1247
957	1746	999
958	1503	745
959	1500	994
960	1494	499
961	1251	1000
962	1498	1003
963	2248	1000
964	1499	500
965	1499	749
966	1501	500
967	1247	998
968	1500	1000
969	1494	750
970	1754	998
971	1495	748
972	1499	999
973	1498	498
974	1246	1006
975	1504	997
976	1744	1248
977	1748	1002
978	1500	998
979	1499	747
980	1498	499
981	1252	998
982	1497	1249
983	2000	1002
984	1500	745
985	1497	999
986	1498	500
987	1248	1000
988	1498	999
